episode,total_reward
1,-48.8528865924
2,-48.5662545029
3,-48.3958063063
4,-71.8239696943
5,-16.5694587718
6,-24.3226457909
7,-18.5073933339
8,-3683.09758025
9,-5299.39849897
10,-5492.55423071
11,-5418.6635001
12,-5830.80130199
13,-4922.90678445
14,-4558.57799157
15,-5032.68977292
16,-5399.50003009
17,-6040.20793748
18,-5610.93870912
19,-5127.21908653
20,-5579.48084841
21,-5103.30011004
22,-5007.11060347
23,-5347.34960762
24,-5249.33138404
25,-4840.89249254
26,-5257.12499142
27,-5453.43536254
28,-5086.07575099
29,-5463.84040742
30,-4819.54335419
31,-5798.68596259
32,-5113.19531397
33,-4884.50805625
34,-5369.65042173
35,-5141.9226216
36,-4690.27195373
37,-5426.14596984
38,-5538.55605724
39,-4579.73002799
40,-5796.5741134
41,-5363.29967327
42,-5827.63502655
43,-5505.27369054
44,-5157.30386075
45,-26.1798567875
46,-25.2962204074
47,-23.1777804067
48,-24.8235321499
49,-29.2096244055
50,-24.4083312992
51,-19.0027508273
52,-43.2815828404
53,-24.325475878
54,-21.8567676416
55,-42.3265132823
56,-23.3958759981
57,-47.1286245878
58,-19.1978152048
59,-24.6999106448
60,-24.0395774977
61,-29.8617509267
62,-26.1767888427
63,-27.9344461012
64,-30.02711547
65,-29.7908061201
66,-70.7989505605
67,-47.8237999579
68,-17.7965363176
69,-90.308934269
70,-34.1403648936
71,-41.504806039
72,-2.1401973264
73,-18.9716052693
74,-27.5312798917
75,-36.3590963183
76,-20.1428650948
77,-42.4154544705
78,-19.5970550347
79,-21.3499692528
80,-22.2966570067
81,-19.095392153
82,-47.4938793701
83,-20.3332642317
84,-26.6374784929
85,-20.219180951
86,-33.5776947116
87,-24.7715399188
88,-28.1578208899
89,-30.1036795194
90,-27.6370222609
91,-21.7063645568
92,-34.8844092181
93,-21.4894092131
94,-24.1086969377
95,-19.6511986757
96,-20.5208844795
97,-33.8622268847
98,-36.6967093037
99,-26.6592391553
100,-17.4510455252
101,-20.6819902889
102,-29.7798561763
103,-25.3288141965
104,-21.4644303323
105,-19.128899095
106,-21.7913997699
107,-23.7540716683
108,-28.8261507299
109,-19.822608972
110,-22.8357967144
111,-27.1087915859
112,-21.3110539986
113,-37.3395422092
114,-21.045334276
115,-13.5896866864
116,-43.720878669
117,-26.8256945012
118,-36.5508270852
119,-21.3655082208
120,-33.3872357287
121,-22.4242159861
122,-43.3045881766
123,-22.0093493592
124,-35.0424644047
125,-22.8594879259
126,-20.6908222249
127,-33.3860507197
128,-28.7374890426
129,-17.8951700685
130,-21.1752347281
131,-27.5040972492
